# x y z rho mue
0.000000 0.000000 0.000000 0.700000 7.241613
0.002501 0.000000 0.000000 0.700000 7.241613
0.005003 0.000000 0.000000 0.700000 7.241613
0.007504 0.000000 0.000000 0.700000 7.241613
0.010005 0.000000 0.000000 0.700000 7.241613
0.012506 0.000000 0.000000 0.700000 7.241613
0.015008 0.000000 0.000000 0.700000 7.241613
0.017509 0.000000 0.000000 0.700000 7.241613
0.020010 0.000000 0.000000 0.700000 7.241613
0.022511 0.000000 0.000000 0.700000 7.241613
0.025013 0.000000 0.000000 0.700000 7.241613
0.027514 0.000000 0.000000 0.700000 7.241613
0.030015 0.000000 0.000000 0.700000 7.241613
0.032516 0.000000 0.000000 0.700000 7.241613
0.035018 0.000000 0.000000 0.700000 7.241613
0.037519 0.000000 0.000000 0.700000 7.241613
0.040020 0.000000 0.000000 0.700000 7.241613
0.042521 0.000000 0.000000 0.700000 7.241613
0.045023 0.000000 0.000000 0.700000 7.241613
0.047524 0.000000 0.000000 0.700000 7.241613
0.050025 0.000000 0.000000 0.700000 7.241613
0.052526 0.000000 0.000000 0.700000 7.241613
0.055028 0.000000 0.000000 0.700000 7.241613
0.057529 0.000000 0.000000 0.700000 7.241613
0.060030 0.000000 0.000000 0.700000 7.241613
0.062531 0.000000 0.000000 0.700000 7.241613
0.065033 0.000000 0.000000 0.700000 7.241613
0.067534 0.000000 0.000000 0.700000 7.241613
0.070035 0.000000 0.000000 0.700000 7.241613
0.072536 0.000000 0.000000 0.700000 7.241613
0.075038 0.000000 0.000000 0.700000 7.241613
0.077539 0.000000 0.000000 0.700000 7.241613
0.080040 0.000000 0.000000 0.700000 7.241613
0.082541 0.000000 0.000000 0.700000 7.241613
0.085043 0.000000 0.000000 0.700000 7.241613
0.087544 0.000000 0.000000 0.700000 7.241613
0.090045 0.000000 0.000000 0.700000 7.241613
0.092546 0.000000 0.000000 0.700000 7.241613
0.095048 0.000000 0.000000 0.700000 7.241613
0.097549 0.000000 0.000000 0.700000 7.241613
0.100050 0.000000 0.000000 0.700000 7.241613
0.102551 0.000000 0.000000 0.700000 7.241613
0.105053 0.000000 0.000000 0.700000 7.241613
0.107554 0.000000 0.000000 0.700000 7.241613
0.110055 0.000000 0.000000 0.700000 7.241613
0.112556 0.000000 0.000000 0.700000 7.241613
0.115058 0.000000 0.000000 0.700000 7.241613
0.117559 0.000000 0.000000 0.700000 7.241613
0.120060 0.000000 0.000000 0.700000 7.241613
0.122561 0.000000 0.000000 0.700000 7.241613
0.125063 0.000000 0.000000 0.700000 7.241613
0.127564 0.000000 0.000000 0.700000 7.241613
0.130065 0.000000 0.000000 0.700000 7.241613
0.132566 0.000000 0.000000 0.700000 7.241613
0.135068 0.000000 0.000000 0.700000 7.241613
0.137569 0.000000 0.000000 0.700000 7.241613
0.140070 0.000000 0.000000 0.700000 7.241613
0.142571 0.000000 0.000000 0.700000 7.241613
0.145073 0.000000 0.000000 0.700000 7.241613
0.147574 0.000000 0.000000 0.700000 7.241613
0.150075 0.000000 0.000000 0.700000 7.241613
0.152576 0.000000 0.000000 0.700000 7.241613
0.155078 0.000000 0.000000 0.700000 7.241613
0.157579 0.000000 0.000000 0.700000 7.241613
0.160080 0.000000 0.000000 0.700000 7.241613
0.162581 0.000000 0.000000 0.700000 7.241613
0.165083 0.000000 0.000000 0.700000 7.241613
0.167584 0.000000 0.000000 0.700000 7.241613
0.170085 0.000000 0.000000 0.700000 7.241613
0.172586 0.000000 0.000000 0.700000 7.241613
0.175088 0.000000 0.000000 0.700000 7.241613
0.177589 0.000000 0.000000 0.700000 7.241613
0.180090 0.000000 0.000000 0.700000 7.241613
0.182591 0.000000 0.000000 0.700000 7.241613
0.185093 0.000000 0.000000 0.700000 7.241613
0.187594 0.000000 0.000000 0.700000 7.241613
0.190095 0.000000 0.000000 0.700000 7.241613
0.192596 0.000000 0.000000 0.700000 7.241613
0.195098 0.000000 0.000000 0.700000 7.241613
0.197599 0.000000 0.000000 0.700000 7.241613
0.200100 0.000000 0.000000 0.700000 7.241613
0.202601 0.000000 0.000000 0.700000 7.241613
0.205103 0.000000 0.000000 0.700000 7.241613
0.207604 0.000000 0.000000 0.700000 7.241613
0.210105 0.000000 0.000000 0.700000 7.241613
0.212606 0.000000 0.000000 0.700000 7.241613
0.215108 0.000000 0.000000 0.700000 7.241613
0.217609 0.000000 0.000000 0.700000 7.241613
0.220110 0.000000 0.000000 0.700000 7.241613
0.222611 0.000000 0.000000 0.700000 7.241613
0.225113 0.000000 0.000000 0.700000 7.241613
0.227614 0.000000 0.000000 0.700000 7.241613
0.230115 0.000000 0.000000 0.700000 7.241613
0.232616 0.000000 0.000000 0.700000 7.241613
0.235118 0.000000 0.000000 0.700000 7.241613
0.237619 0.000000 0.000000 0.700000 7.241613
0.240120 0.000000 0.000000 0.700000 7.241613
0.242621 0.000000 0.000000 0.700000 7.241613
0.245123 0.000000 0.000000 0.700000 7.241613
0.247624 0.000000 0.000000 0.700000 7.241613
0.250125 0.000000 0.000000 0.700000 7.241613
0.252626 0.000000 0.000000 0.700000 7.241613
0.255128 0.000000 0.000000 0.700000 7.241613
0.257629 0.000000 0.000000 0.700000 7.241613
0.260130 0.000000 0.000000 0.700000 7.241613
0.262631 0.000000 0.000000 0.700000 7.241613
0.265133 0.000000 0.000000 0.700000 7.241613
0.267634 0.000000 0.000000 0.700000 7.241613
0.270135 0.000000 0.000000 0.700000 7.241613
0.272636 0.000000 0.000000 0.700000 7.241613
0.275138 0.000000 0.000000 0.700000 7.241613
0.277639 0.000000 0.000000 0.700000 7.241613
0.280140 0.000000 0.000000 0.700000 7.241613
0.282641 0.000000 0.000000 0.700000 7.241613
0.285143 0.000000 0.000000 0.700000 7.241613
0.287644 0.000000 0.000000 0.700000 7.241613
0.290145 0.000000 0.000000 0.700000 7.241613
0.292646 0.000000 0.000000 0.700000 7.241613
0.295148 0.000000 0.000000 0.700000 7.241613
0.297649 0.000000 0.000000 0.700000 7.241613
0.300150 0.000000 0.000000 0.700000 7.241613
0.302651 0.000000 0.000000 0.700000 7.241613
0.305153 0.000000 0.000000 0.700000 7.241613
0.307654 0.000000 0.000000 0.700000 7.241613
0.310155 0.000000 0.000000 0.700000 7.241613
0.312656 0.000000 0.000000 0.700000 7.241613
0.315158 0.000000 0.000000 0.700000 7.241613
0.317659 0.000000 0.000000 0.700000 7.241613
0.320160 0.000000 0.000000 0.700000 7.241613
0.322661 0.000000 0.000000 0.700000 7.241613
0.325163 0.000000 0.000000 0.700000 7.241613
0.327664 0.000000 0.000000 0.700000 7.241613
0.330165 0.000000 0.000000 0.700000 7.241613
0.332666 0.000000 0.000000 0.700000 7.241613
0.335168 0.000000 0.000000 0.700000 7.241613
0.337669 0.000000 0.000000 0.700000 7.241613
0.340170 0.000000 0.000000 0.700000 7.241613
0.342671 0.000000 0.000000 0.700000 7.241613
0.345173 0.000000 0.000000 0.700000 7.241613
0.347674 0.000000 0.000000 0.700000 7.241613
0.350175 0.000000 0.000000 0.700000 7.241613
0.352676 0.000000 0.000000 0.700000 7.241613
0.355178 0.000000 0.000000 0.700000 7.241613
0.357679 0.000000 0.000000 0.700000 7.241613
0.360180 0.000000 0.000000 0.700000 7.241613
0.362681 0.000000 0.000000 0.700000 7.241613
0.365183 0.000000 0.000000 0.700000 7.241613
0.367684 0.000000 0.000000 0.700000 7.241613
0.370185 0.000000 0.000000 0.700000 7.241613
0.372686 0.000000 0.000000 0.700000 7.241613
0.375188 0.000000 0.000000 0.700000 7.241613
0.377689 0.000000 0.000000 0.700000 7.241613
0.380190 0.000000 0.000000 0.700000 7.241613
0.382691 0.000000 0.000000 0.700000 7.241613
0.385193 0.000000 0.000000 0.700000 7.241613
0.387694 0.000000 0.000000 0.700000 7.241613
0.390195 0.000000 0.000000 0.700000 7.241613
0.392696 0.000000 0.000000 0.700000 7.241613
0.395198 0.000000 0.000000 0.700000 7.241613
0.397699 0.000000 0.000000 0.700000 7.241613
0.400200 0.000000 0.000000 0.700000 7.241613
0.402701 0.000000 0.000000 0.700000 7.241613
0.405203 0.000000 0.000000 0.700000 7.241613
0.407704 0.000000 0.000000 0.700000 7.241613
0.410205 0.000000 0.000000 0.700000 7.241613
0.412706 0.000000 0.000000 0.700000 7.241613
0.415208 0.000000 0.000000 0.700000 7.241613
0.417709 0.000000 0.000000 0.700000 7.241613
0.420210 0.000000 0.000000 0.700000 7.241613
0.422711 0.000000 0.000000 0.700000 7.241613
0.425213 0.000000 0.000000 0.700000 7.241613
0.427714 0.000000 0.000000 0.700000 7.241613
0.430215 0.000000 0.000000 0.700000 7.241613
0.432716 0.000000 0.000000 0.700000 7.241613
0.435218 0.000000 0.000000 0.700000 7.241613
0.437719 0.000000 0.000000 0.700000 7.241613
0.440220 0.000000 0.000000 0.700000 7.241613
0.442721 0.000000 0.000000 0.700000 7.241613
0.445223 0.000000 0.000000 0.700000 7.241613
0.447724 0.000000 0.000000 0.700000 7.241613
0.450225 0.000000 0.000000 0.700000 7.241613
0.452726 0.000000 0.000000 0.700000 7.241613
0.455228 0.000000 0.000000 0.700000 7.241613
0.457729 0.000000 0.000000 0.700000 7.241613
0.460230 0.000000 0.000000 0.700000 7.241613
0.462731 0.000000 0.000000 0.700000 7.241613
0.465233 0.000000 0.000000 0.700000 7.241613
0.467734 0.000000 0.000000 0.700000 7.241613
0.470235 0.000000 0.000000 0.700000 7.241613
0.472736 0.000000 0.000000 0.700000 7.241613
0.475238 0.000000 0.000000 0.700000 7.241613
0.477739 0.000000 0.000000 0.700000 7.241613
0.480240 0.000000 0.000000 0.700000 7.241613
0.482741 0.000000 0.000000 0.700000 7.241613
0.485243 0.000000 0.000000 0.700000 7.241613
0.487744 0.000000 0.000000 0.700000 7.241613
0.490245 0.000000 0.000000 0.700000 7.241613
0.492746 0.000000 0.000000 0.700000 7.241613
0.495248 0.000000 0.000000 0.700000 7.241613
0.497749 0.000000 0.000000 0.700000 7.241613
0.500250 0.000000 0.000000 0.700000 7.241613
0.502751 0.000000 0.000000 0.700000 7.241613
0.505253 0.000000 0.000000 0.700000 7.241613
0.507754 0.000000 0.000000 0.700000 7.241613
0.510255 0.000000 0.000000 0.700000 7.241613
0.512756 0.000000 0.000000 0.700000 7.241613
0.515258 0.000000 0.000000 0.700000 7.241613
0.517759 0.000000 0.000000 0.700000 7.241613
0.520260 0.000000 0.000000 0.700000 7.241613
0.522761 0.000000 0.000000 0.700000 7.241613
0.525263 0.000000 0.000000 0.700000 7.241613
0.527764 0.000000 0.000000 0.700000 7.241613
0.530265 0.000000 0.000000 0.700000 7.241613
0.532766 0.000000 0.000000 0.700000 7.241613
0.535268 0.000000 0.000000 0.700000 7.241613
0.537769 0.000000 0.000000 0.700000 7.241613
